name,firstName,lastName,slug,shortName,position,height,userCount,sofascoreId,country,id,marketValueCurrency,dateOfBirthTimestamp,fieldTranslations,jerseyNumber,gender,teamId,shirtNumber,jerseyNumber,position,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,errorLeadToAShot,unsuccessfulTouch,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalShots,statisticsType,duelLost,duelWon,challengeLost,totalContest,wonContest,shotOffTarget,totalClearance,outfielderBlock,totalTackle,wonTackle,fouls,aerialLost,aerialWon,interceptionWon,keyPass,wasFouled,totalCross,dispossessed,blockedScoringAttempt,bigChanceCreated,onTargetScoringAttempt,accurateCross,goals,totalOffside,hitWoodwork,bigChanceMissed,teamName,captain
Pedro Pablo Pasculli,,,pedro-pablo-pasculli,P. P. Pasculli,F,172.0,2,cezpr3,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",1420554,EUR,-303782400,"{'nameTranslation': {'ar': 'بيدرو بابلو باسكولي', 'ru': 'Педро Пабло Паскулли'}, 'shortNameTranslation': {'ar': 'ب. باسكولي', 'ru': 'П. Паскулли'}}",,,4819,17,17,F,True,,,,,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina,
Sergio Almirón,,,sergio-almiron,S. Almirón,F,176.0,2,km7yn4,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",1420561,EUR,-350956800,"{'nameTranslation': {'ar': 'سيرجيو ألميرون', 'ru': 'Серджио Альмирон'}, 'shortNameTranslation': {'ar': 'س. ألميرون', 'ru': 'С. Альмирон'}}",,,4819,1,1,F,True,,,,,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina,
Peter Shilton,,,peter-shilton,P. Shilton,G,183.0,14,g8dpy4,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",1420225,EUR,-640224000,"{'nameTranslation': {'ar': 'بيتر شيلتون', 'ru': 'Питер Шилтон'}, 'shortNameTranslation': {'ar': 'ب. شيلتون', 'ru': 'П. Шилтон'}}",,,4713,1,1,G,False,17.0,11.0,7.0,1.0,0.0,10.0,10.0,1.0,7.0,23.0,,,2.0,,2.0,90.0,36.0,6.6,6.0,"{'original': 6.6, 'alternative': 6.6}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2.0,1.0,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,England,True
Gary Stevens,,,gary-stevens,G. Stevens,D,180.0,1,hi5qs8,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",1420671,EUR,-244857600,"{'nameTranslation': {'ar': 'غاري ستيفنز', 'ru': 'Гэри Стивенс'}, 'shortNameTranslation': {'ar': 'غ. ستيفنز', 'ru': 'Г. Стивенс'}}",,,4713,2,2,D,False,36.0,18.0,10.0,,0.0,11.0,11.0,7.0,25.0,2.0,,,,,,90.0,55.0,6.0,24.0,"{'original': 6, 'alternative': 6}",1,"{'sportSlug': 'football', 'statisticsType': 'player'}",5.0,2.0,2.0,1.0,1.0,,2.0,1.0,,,,1.0,1.0,1.0,,,1.0,2.0,1.0,,,,,,,,England,
Terry Fenwick,,,terry-fenwick,T. Fenwick,D,181.0,1,8jqatv,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",1420672,EUR,-319507200,"{'nameTranslation': {'ar': 'تيري فينووك', 'ru': 'Терри Фенвик'}, 'shortNameTranslation': {'ar': 'ت. فينووك', 'ru': 'Т. Фенвик'}}",,,4713,14,14,D,False,33.0,26.0,8.0,3.0,0.0,24.0,25.0,2.0,8.0,3.0,,,,,,90.0,42.0,6.4,8.0,"{'original': 6.4, 'alternative': 6.4}",2,"{'sportSlug': 'football', 'statisticsType': 'player'}",7.0,3.0,3.0,,,2.0,4.0,2.0,,,3.0,1.0,3.0,,,,1.0,,,,,,,,,,England,
Terry Butcher,,,terry-butcher,T. Butcher,D,193.0,6,jv4yeg,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",1420227,EUR,-347500800,"{'nameTranslation': {'ar': 'تيري بوتشر', 'ru': 'Терри Батчер'}, 'shortNameTranslation': {'ar': 'ت. بوتشر', 'ru': 'Т. Батчер'}}",,,4713,6,6,D,False,48.0,39.0,15.0,8.0,0.0,28.0,31.0,11.0,17.0,7.0,,,,,,90.0,67.0,6.8,9.0,"{'original': 6.8, 'alternative': 6.8}",1,"{'sportSlug': 'football', 'statisticsType': 'player'}",9.0,9.0,4.0,1.0,1.0,,9.0,,5.0,3.0,2.0,3.0,3.0,1.0,,,,,,,1.0,,,,,1.0,England,
Kenny Sansom,,,kenny-sansom,K. Sansom,D,173.0,3,rs968g,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",1420226,EUR,-355536000,"{'nameTranslation': {'ar': 'كيني سانسوم', 'ru': 'Кенни Сэнсом'}, 'shortNameTranslation': {'ar': 'ك. سانسوم', 'ru': 'К. Сэнсом'}}",,,4713,3,3,D,False,39.0,28.0,4.0,2.0,0.0,12.0,13.0,16.0,26.0,2.0,,,,,,90.0,73.0,7.2,19.0,"{'original': 7.2, 'alternative': 7.2}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4.0,9.0,1.0,,,,4.0,1.0,7.0,5.0,,1.0,1.0,,1.0,1.0,1.0,2.0,,,,,,,,,England,
Trevor Steven,,,trevor-steven,T. Steven,M,177.0,1,fpkscc,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",1420678,EUR,-198201600,"{'nameTranslation': {'ar': 'تريفور ستيفن', 'ru': 'Тревор Стивен'}, 'shortNameTranslation': {'ar': 'ت. ستيفن', 'ru': 'Т. Стивен'}}",,,4713,17,17,M,False,9.0,9.0,1.0,1.0,0.0,4.0,4.0,5.0,5.0,2.0,,,,,,75.0,24.0,6.6,6.0,"{'original': 6.6, 'alternative': 6.6}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4.0,3.0,,1.0,,,1.0,2.0,2.0,1.0,2.0,1.0,,1.0,,1.0,3.0,1.0,,,,,,,,,England,
Glenn Hoddle,,,glenn-hoddle,G. Hoddle,M,183.0,6,n5c8s7,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",1420242,EUR,-384393600,"{'nameTranslation': {'ar': 'جلين هودل', 'ru': 'Гленн Ходдл'}, 'shortNameTranslation': {'ar': 'ج. هودل', 'ru': 'Г. Ходдл'}}",,,4713,4,4,M,False,33.0,20.0,6.0,3.0,0.0,9.0,11.0,11.0,22.0,2.0,,1.0,,,,90.0,58.0,7.0,21.0,"{'original': 7, 'alternative': 7}",2,"{'sportSlug': 'football', 'statisticsType': 'player'}",10.0,8.0,4.0,2.0,1.0,,1.0,,3.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,6.0,2.0,1.0,,1.0,3.0,,,,,England,
Peter Reid,,,peter-reid,P. Reid,M,173.0,1,q4ruic,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",1420676,EUR,-440208000,"{'nameTranslation': {'ar': 'بيتر ريد', 'ru': 'Питер Рид'}, 'shortNameTranslation': {'ar': 'ب. ريد', 'ru': 'П. Рид'}}",,,4713,16,16,M,False,31.0,27.0,3.0,1.0,0.0,20.0,22.0,7.0,9.0,4.0,,1.0,,,,65.0,40.0,6.5,6.0,"{'original': 6.5, 'alternative': 6.5}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4.0,5.0,1.0,2.0,1.0,,,,2.0,2.0,3.0,,,1.0,,2.0,,,,,,,,,,,England,
