id,goals,totalShots,onTargetScoringAttempt,shotOffTarget,totalContest,wonContest,wasFouled,fouls,keyPass,goalAssist,bigChanceCreated,bigChanceMissed,totalCross,accurateCross,totalPass,accuratePass,touches,duelWon,duelLost,hitWoodwork,minutesPlayed,name,world_cups_played,first_world_cup,last_world_cup,matches_played
1422040,0.0,1,0.0,1.0,11.0,7.0,4.0,6.0,0.0,0.0,0.0,0.0,14.0,0.0,157.0,121.0,271.0,28.0,22.0,0.0,350.0,Ahmed Al-Dokhi,3,1998,2006,6
1422041,0.0,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,23.0,2.0,4.0,0.0,39.0,Ibrahim Al-Harbi,1,1998,1998,2
1422043,0.0,18,3.0,14.0,14.0,5.0,14.0,8.0,9.0,0.0,0.0,0.0,10.0,1.0,249.0,185.0,377.0,25.0,36.0,0.0,459.0,Nawaf Al Temyat,3,1998,2006,6
1422044,0.0,0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,140.0,222.0,18.0,9.0,0.0,360.0,René Henriksen,1,2002,2002,4
1422045,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,10.0,24.0,2.0,0.0,0.0,45.0,Jacob Laursen,1,1998,1998,1
1422047,1.0,4,4.0,0.0,2.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,8.0,39.0,9.0,24.0,0.0,126.0,Peter Møller,1,1998,1998,2
1422048,0.0,2,1.0,1.0,4.0,1.0,4.0,7.0,7.0,1.0,1.0,0.0,15.0,6.0,167.0,126.0,264.0,24.0,18.0,0.0,377.0,Stig Tøfting,2,1998,2002,6
1422049,0.0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,9.0,Miklos Molnar,1,1998,1998,1
1422052,0.0,0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,8.0,2.0,1.0,0.0,29.0,Masayuki Okano,1,1998,1998,1
1422053,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,9.0,0.0,1.0,0.0,15.0,Toshihiro Hattori,1,2002,2002,1
1422054,0.0,0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,35.0,48.0,4.0,3.0,0.0,59.0,Norio Omura,1,1998,1998,1
