id,goals,totalShots,onTargetScoringAttempt,shotOffTarget,totalContest,wonContest,wasFouled,fouls,keyPass,goalAssist,bigChanceCreated,bigChanceMissed,totalCross,accurateCross,totalPass,accuratePass,touches,duelWon,duelLost,hitWoodwork,totalOppositionHalfPasses,accurateOppositionHalfPasses,minutesPlayed,name,world_cups_played,first_world_cup,last_world_cup,matches_played,goals_per90,totalShots_per90,onTargetScoringAttempt_per90,totalContest_per90,wonContest_per90,wasFouled_per90,keyPass_per90,goalAssist_per90,bigChanceCreated_per90,totalCross_per90,accurateCross_per90,totalPass_per90,accuratePass_per90,totalOppositionHalfPasses_per90,accurateOppositionHalfPasses_per90,touches_per90,finisher_score,dribbler_score,chance_creator_score,play_organizer_score,finisher_score_elite_90,dribbler_score_elite_90,chance_creator_score_elite_90,play_organizer_score_elite_90,n_elite_roles_90,finisher_score_elite_95,dribbler_score_elite_95,chance_creator_score_elite_95,play_organizer_score_elite_95,n_elite_roles_95,finisher_score_elite_99,dribbler_score_elite_99,chance_creator_score_elite_99,play_organizer_score_elite_99,n_elite_roles_99,finisher_score_elite_85,dribbler_score_elite_85,chance_creator_score_elite_85,play_organizer_score_elite_85,n_elite_roles_85,role_score_range,role_score_std,role_score_avg
10722,5.0,30,15.0,11.0,25.0,10.0,15.0,4.0,12.0,1.0,4.0,6.0,14.0,4.0,305.0,252.0,466.0,51.0,64.0,1.0,208.0,161.0,715.0,Raúl,3,1998,2006,11,0.6293706293706294,3.776223776223776,1.888111888111888,3.1468531468531467,1.2587412587412588,1.888111888111888,1.5104895104895104,0.1258741258741258,0.5034965034965034,1.7622377622377623,0.5034965034965034,38.39160839160839,31.72027972027972,26.18181818181818,20.265734265734267,58.65734265734265,96.67738478027869,74.81913183279742,74.10771704180065,61.32636655948553,True,False,False,False,1,True,False,False,False,1,False,False,False,False,0,True,False,False,False,1,35.35101822079316,14.67080819991846,76.73265005359056
10788,0.0,3,0.0,2.0,2.0,0.0,16.0,7.0,7.0,0.0,0.0,0.0,13.0,0.0,209.0,156.0,362.0,37.0,18.0,0.0,120.0,74.0,480.0,Andriy Nesmachnyi,1,2006,2006,5,0.0,0.5625,0.0,0.375,0.0,3.0,1.3125,0.0,0.0,2.4375,0.0,39.1875,29.25,22.5,13.875,67.875,26.85557341907824,40.30010718113612,44.18408360128617,56.22186495176849,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,29.366291532690248,12.099957488830098,41.890407288317256
10792,0.0,9,1.0,5.0,11.0,9.0,8.0,11.0,10.0,1.0,1.0,1.0,8.0,2.0,298.0,244.0,414.0,45.0,37.0,0.0,184.0,141.0,480.0,Anatoliy Tymoshchuk,1,2006,2006,5,0.0,1.6875,0.1875,2.0625,1.6875,1.5,1.875,0.1875,0.1875,1.5,0.375,55.875,45.75,34.5,26.4375,77.625,47.0123258306538,69.95578778135048,69.80707395498393,88.83440514469453,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,False,False,False,True,1,41.82207931404073,17.111285135939948,68.90239817792069
11023,0.0,6,1.0,3.0,4.0,4.0,3.0,3.0,7.0,0.0,1.0,1.0,18.0,5.0,182.0,131.0,278.0,14.0,10.0,0.0,117.0,70.0,278.0,Ian Harte,1,2002,2002,4,0.0,1.9424460431654675,0.3237410071942446,1.2949640287769784,1.2949640287769784,0.9712230215827338,2.2661870503597124,0.0,0.3237410071942446,5.827338129496403,1.618705035971223,58.92086330935251,42.41007194244604,37.877697841726615,22.66187050359712,90.0,53.02786709539121,52.46516613076098,78.80627009646302,88.9670418006431,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,False,False,False,True,1,36.501875669882125,18.45252679023437,68.31658628081459
11068,0.0,1,1.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,71.0,146.0,18.0,13.0,0.0,25.0,14.0,270.0,Boštjan Cesar,1,2010,2010,3,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,29.33333333333333,23.666666666666668,8.333333333333334,4.666666666666667,48.66666666666666,37.13156484458735,26.7483922829582,18.938906752411576,18.352090032154344,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,18.77947481243301,8.771554711756384,25.292738478027864
11123,0.0,1,1.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,108.0,79.0,193.0,13.0,13.0,0.0,69.0,46.0,270.0,Marcin Baszczyński,1,2006,2006,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.3333333333333333,0.0,0.0,0.0,2.0,0.6666666666666666,36.0,26.33333333333333,23.0,15.333333333333334,64.33333333333333,37.13156484458735,27.183815648445872,41.57556270096463,52.95418006430869,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,25.77036441586281,10.683979368894745,39.71128081457664
11179,0.0,0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,163.0,139.0,220.0,16.0,15.0,0.0,52.0,37.0,270.0,Emir Spahić,1,2014,2014,3,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,54.333333333333336,46.333333333333336,17.333333333333332,12.333333333333334,73.33333333333333,17.85235798499464,22.42765273311897,22.922025723472668,65.9686495176849,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,48.116291532690255,22.566359530647286,32.29267148981779
11184,0.0,3,0.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,139.0,204.0,23.0,11.0,0.0,44.0,35.0,270.0,Nemanja Vidić,1,2010,2010,3,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,51.66666666666666,46.333333333333336,14.666666666666666,11.666666666666666,68.0,32.804126473740624,12.232047159699894,18.938906752411576,60.032154340836016,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,47.80010718113612,21.16464716660631,31.001808681672028
11190,0.0,0,0.0,0.0,3.0,1.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,55.0,121.0,18.0,20.0,0.0,31.0,27.0,270.0,Igor Duljaj,1,2006,2006,3,0.0,0.0,0.0,1.0,0.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,20.0,18.33333333333333,10.333333333333334,9.0,40.333333333333336,17.85235798499464,42.87915326902465,18.938906752411576,11.531350482315112,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,31.347802786709536,13.778510559886776,22.800442122186496
11203,1.0,9,1.0,7.0,2.0,1.0,9.0,11.0,5.0,1.0,1.0,1.0,0.0,0.0,89.0,66.0,148.0,37.0,32.0,1.0,67.0,44.0,338.0,Nikola Žigić,2,2006,2010,5,0.2662721893491124,2.396449704142012,0.2662721893491124,0.5325443786982249,0.2662721893491124,2.396449704142012,1.331360946745562,0.2662721893491124,0.2662721893491124,0.0,0.0,23.698224852071007,17.57396449704142,17.840236686390533,11.715976331360949,39.40828402366864,71.38933547695606,46.00750267952841,52.33520900321544,20.811897106109324,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,50.577438370846735,20.884507903553462,47.635986066452304
11263,2.0,13,4.0,5.0,16.0,4.0,5.0,13.0,5.0,0.0,1.0,1.0,16.0,2.0,104.0,68.0,228.0,29.0,56.0,0.0,73.0,46.0,479.0,Ivica Olić,3,2002,2014,8,0.3757828810020877,2.44258872651357,0.7515657620041754,3.0062630480167014,0.7515657620041754,0.9394572025052192,0.9394572025052192,0.0,0.1878914405010438,3.0062630480167014,0.3757828810020877,19.54070981210856,12.776617954070982,13.7160751565762,8.643006263048017,42.839248434238,83.78885316184352,56.4911575562701,59.01527331189711,11.913183279742764,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,71.87566988210075,29.91262303401449,52.802116827438375
