id,goals,totalShots,onTargetScoringAttempt,shotOffTarget,totalContest,wonContest,wasFouled,fouls,keyPass,goalAssist,bigChanceCreated,bigChanceMissed,totalCross,accurateCross,totalPass,accuratePass,touches,duelWon,duelLost,hitWoodwork,totalOppositionHalfPasses,accurateOppositionHalfPasses,minutesPlayed,name,world_cups_played,first_world_cup,last_world_cup,matches_played,goals_per90,totalShots_per90,onTargetScoringAttempt_per90,totalContest_per90,wonContest_per90,wasFouled_per90,keyPass_per90,goalAssist_per90,bigChanceCreated_per90,totalCross_per90,accurateCross_per90,totalPass_per90,accuratePass_per90,totalOppositionHalfPasses_per90,accurateOppositionHalfPasses_per90,touches_per90
15454,0.0,1,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,293.0,267.0,342.0,16.0,12.0,0.0,90.0,72.0,360.0,Mark Milligan,2,2014,2018,4,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.25,66.75,22.5,18.0,85.5
15455,0.0,5,1.0,2.0,4.0,1.0,8.0,8.0,10.0,1.0,0.0,1.0,26.0,12.0,223.0,175.0,349.0,19.0,22.0,0.0,150.0,109.0,421.0,Luke Wilkshire,2,2006,2010,5,0.0,1.0688836104513064,0.21377672209026127,0.8551068883610451,0.21377672209026127,1.7102137767220902,2.137767220902613,0.21377672209026127,0.0,5.558194774346793,2.565320665083135,47.672209026128264,37.410926365795724,32.06650831353919,23.301662707838478,74.60807600950119
15460,0.0,3,1.0,1.0,14.0,6.0,11.0,7.0,4.0,0.0,1.0,1.0,16.0,3.0,190.0,133.0,365.0,36.0,35.0,0.0,118.0,76.0,435.0,Oleh Husiev,1,2006,2006,5,0.0,0.6206896551724138,0.20689655172413796,2.896551724137931,1.2413793103448276,2.2758620689655173,0.8275862068965518,0.0,0.20689655172413796,3.3103448275862073,0.6206896551724138,39.310344827586206,27.517241379310345,24.413793103448278,15.724137931034484,75.51724137931035
15461,1.0,9,3.0,4.0,11.0,4.0,9.0,9.0,12.0,2.0,4.0,0.0,32.0,11.0,118.0,86.0,225.0,30.0,33.0,1.0,78.0,54.0,330.0,Maksym Kalynychenko,1,2006,2006,4,0.27272727272727276,2.4545454545454546,0.8181818181818182,3.0,1.090909090909091,2.4545454545454546,3.272727272727273,0.5454545454545455,1.090909090909091,8.727272727272728,3.0,32.18181818181818,23.454545454545457,21.272727272727273,14.727272727272728,61.36363636363637
15466,2.0,24,11.0,7.0,30.0,18.0,38.0,32.0,35.0,2.0,4.0,1.0,94.0,22.0,1420.0,1252.0,1801.0,107.0,102.0,0.0,876.0,747.0,1967.0,Luka Modrić,5,2006,2026,23,0.09150991357397052,1.0981189628876462,0.5033045246568378,1.3726487036095578,0.8235892221657347,1.73868835790544,1.6014234875444842,0.09150991357397052,0.18301982714794104,4.300965937976614,1.0066090493136757,64.97203863751906,57.285205897305545,40.081342145399084,34.17895271987799,82.40467717336045
15496,1.0,10,2.0,4.0,14.0,8.0,11.0,8.0,6.0,1.0,0.0,0.0,10.0,3.0,244.0,187.0,341.0,35.0,26.0,0.0,157.0,110.0,495.0,John O'Brien,2,2002,2006,6,0.18181818181818182,1.8181818181818181,0.36363636363636365,2.5454545454545454,1.4545454545454546,2.0,1.0909090909090908,0.18181818181818182,0.0,1.8181818181818181,0.5454545454545454,44.36363636363637,34.0,28.545454545454547,20.0,62.0
15508,0.0,4,0.0,2.0,3.0,1.0,8.0,9.0,8.0,0.0,0.0,0.0,11.0,5.0,176.0,137.0,311.0,29.0,29.0,0.0,100.0,71.0,533.0,Carlos Bonet,3,2002,2010,6,0.0,0.6754221388367729,0.0,0.5065666041275797,0.16885553470919323,1.3508442776735459,1.3508442776735459,0.0,0.0,1.8574108818011257,0.8442776735459662,29.71857410881801,23.133208255159474,16.885553470919323,11.98874296435272,52.514071294559095
15530,0.0,6,2.0,4.0,4.0,2.0,12.0,15.0,7.0,1.0,1.0,1.0,13.0,0.0,271.0,227.0,459.0,51.0,42.0,0.0,173.0,142.0,663.0,Juan Pablo Sorín,2,2002,2006,7,0.0,0.8144796380090498,0.2714932126696833,0.5429864253393666,0.2714932126696833,1.6289592760180995,0.9502262443438915,0.13574660633484165,0.13574660633484165,1.7647058823529413,0.0,36.787330316742086,30.81447963800905,23.484162895927604,19.276018099547514,62.307692307692314
15553,1.0,11,6.0,4.0,9.0,6.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,38.0,35.0,97.0,16.0,21.0,0.0,27.0,25.0,270.0,Mohamed Kader,1,2006,2006,3,0.3333333333333333,3.6666666666666665,2.0,3.0,2.0,1.6666666666666667,0.0,0.0,0.0,0.3333333333333333,0.0,12.666666666666666,11.666666666666666,9.0,8.333333333333334,32.333333333333336
15561,0.0,0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,31.0,76.0,6.0,9.0,0.0,16.0,9.0,270.0,Amir Hossein Sadeghi,1,2014,2014,3,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,14.333333333333334,10.333333333333334,5.333333333333333,3.0,25.333333333333332
15563,0.0,2,0.0,2.0,5.0,2.0,7.0,7.0,5.0,1.0,1.0,1.0,0.0,0.0,160.0,124.0,244.0,25.0,27.0,0.0,70.0,50.0,450.0,Javad Nekounam,2,2006,2014,5,0.0,0.4,0.0,1.0,0.4,1.4,1.0,0.2,0.2,0.0,0.0,32.0,24.8,14.0,10.0,48.8
